receipt_id,bill_id,date,hour,item_name,category,quantity,unit_price,payment_method,channel,cashier,customer_age_group,customer_distance_km,loyalty_member
R02344,B2459,27-04-2025,11,Soap Bar,Household,1,0.7,Cash,In-store,Amir,51-65,1.2,No
R00653,B1399,28-01-2025,17,Tea Bags (25),Pantry,3,2.5,Cash,In-store,Amir,65+,1.4,No
R00330,B1204,14-01-2025,10,Frozen Meals,Frozen,1,4,Cash,In-store,Amir,65+,0.8,No
R02255,B2400,19-04-2025,7,Soap Bar,Household,3,0.7,Cash,In-store,Bina,26-35,1,No
R02622,B2618,11-05-2025,17,Soap Bar,Household,1,0.7,Card,In-store,Amir,51-65,2.1,Yes
R01854,B2148,23-03-2025,13,Soap Bar,Household,2,0.7,Cash,In-store,Bina,65+,0.8,Yes
R00246,B1156,11-01-2025,12,Instant Noodles,Pantry,1,0.6,Cash,In-store,Bina,18-25,2.3,Yes
R01248,B1775,23-02-2025,20,Rice 1kg,Pantry,4,2,Cash,In-store,Amir,65+,3.2,Yes
R00967,B1590,11-02-2025,9,Eggs (6),Dairy,1,1.8,Cash,In-store,Amir,26-35,1,No
R01041,B1640,14-02-2025,16,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Carlos,36-50,0.5,Yes
R02408,B2497,02-05-2025,16,Milk 1L,Dairy,2,1.4,Online,Online,Bina,26-35,6,No
R02110,B2310,07-04-2025,12,Eggs (6),Dairy,1,1.8,Cash,In-store,Carlos,36-50,1.4,Yes
R00541,B1325,23-01-2025,12,Instant Noodles,Pantry,1,0.6,Cash,In-store,Amir,51-65,1.5,No
R00756,B1465,02-02-2025,16,Cooking Oil 1L,Pantry,3,3.2,Card,In-store,Bina,51-65,0.9,No
R01006,B1615,12-02-2025,14,White bread,Bakery,4,1,Online,Online,Carlos,36-50,3.7,No
R00082,B1053,04-01-2025,12,bread,Bakery,2,1,Cash,In-store,Amir,26-35,2.7,No
R00016,B1008,01-01-2025,10,bread,Bakery,2,1,Cash,In-store,Bina,65+,0.7,No
R01170,B1727,20-02-2025,10,Chocolate Bar,Snacks,2,0.9,Cash,In-store,Amir,36-50,0.6,No
R02767,B2703,18-05-2025,9,Potato Chips,Snacks,1,1.1,Cash,In-store,Bina,36-50,0.4,No
R02237,B2387,19-04-2025,12,Instant Noodles,Pantry,2,0.6,Cash,In-store,Amir,36-50,1.4,No
R01493,B1917,06-03-2025,16,Milk 1L,Dairy,3,1.4,Cash,In-store,Amir,36-50,2.2,Yes
R03086,B2912,05-05-2025,14,TEST,Other,1,0.01,Card,Online,Bina,26-35,1,No
R00158,B1101,08-01-2025,16,Soap Bar,Household,1,0.7,Cash,In-store,Bina,36-50,1.3,No
R01622,B1996,12-03-2025,19,Soap Bar,Household,1,0.7,Cash,In-store,Bina,26-35,0.3,No
R00660,B1405,29-01-2025,18,Eggs (6),Dairy,1,1.8,Cash,In-store,Bina,18-25,1.9,No
R03062,B2888,24-04-2025,10,xxx,Other,1,0.01,Card,Online,Amir,26-35,1,No
R02246,B2394,19-04-2025,13,Eggs (6),Dairy,1,1.8,Cash,In-store,Bina,36-50,1.5,No
R00309,B1193,14-01-2025,18,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Amir,65+,1.5,No
R02896,B2785,24-05-2025,7,Soap Bar,Household,1,0.7,Card,In-store,Amir,36-50,3.5,No
R02899,B2786,24-05-2025,7,Instant Noodles,Pantry,2,0.6,Cash,In-store,Carlos,36-50,1.6,No
R00693,B1424,30-01-2025,16,Instant Noodles,Pantry,2,0.6,Cash,In-store,Amir,51-65,2.4,No
R02307,B2432,23-04-2025,17,Bottled Water 1.5L,Beverages,3,0.8,Cash,In-store,Amir,36-50,2.5,No
R02701,B2665,15-05-2025,13,Coca Cola 500ml,Beverages,1,,Cash,In-store,Carlos,65+,0.7,No
R01354,B1838,28-02-2025,20,Cooking Oil 1L,Pantry,2,3.2,Cash,In-store,Bina,18-25,1.7,Yes
R00373,B1231,16-01-2025,20,Rice 1kg,Pantry,2,2,Cash,In-store,Bina,36-50,1.6,No
R02987,B2840,28-05-2025,14,Instant Noodles,Pantry,2,0.6,Cash,In-store,Carlos,51-65,1.8,No
R00199,B1126,10-01-2025,13,Frozen Meals,Frozen,2,4,Cash,In-store,Amir,51-65,3.1,No
R01632,B2002,12-03-2025,21,Frozen Meals,Frozen,1,4,Cash,In-store,Bina,36-50,2.1,No
R01806,B2119,21-03-2025,17,Cooking Oil 1L,Pantry,4,3.2,Cash,In-store,Carlos,26-35,0.5,Yes
R00849,B1521,06-02-2025,13,Fresh Vegetables Pack,Fresh,2,3.5,Card,In-store,Carlos,18-25,6.1,Yes
R01516,B1931,07-03-2025,17,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Carlos,18-25,0.2,No
R01126,B1697,18-02-2025,16,White Bread,Bakery,2,1,Cash,In-store,Amir,36-50,2.4,No
R00676,B1415,29-01-2025,14,Coca Cola 500ml,Beverages,1,1.2,Cash,In-store,Bina,51-65,0.8,No
